Unnamed: 0,Country,Continent,Hemisphere,Human_development,HDI_rank_2021,GII_rank_2021,GII_2001,GII_2002,GII_2003,GII_2004,GII_2005,GII_2006,GII_2007,GII_2008,GII_2009,GII_2010,GII_2011,GII_2012,GII_2013,GII_2014,GII_2015,GII_2016,GII_2017,GII_2018,GII_2019,GII_2020,GII_2021
0,Afghanistan,Asia,Northern Hemisphere,0,180.0,167.0,0.464,0.4665,0.464,0.4669999999999999,0.748,0.749,0.752,0.755,0.755,0.753,0.746,0.738,0.728,0.718,0.706,0.692,0.678,0.671,0.665,0.674,0.678
1,Angola,Africa,Southern Hemisphere,1,148.0,136.0,0.665,0.657,0.649,0.643,0.636,0.628,0.621,0.568,0.56,0.551,0.544,0.545,0.54,0.531,0.53,0.529,0.538,0.537,0.537,0.537,0.537
2,Albania,Europe,Northern Hemisphere,2,67.0,39.0,0.282,0.297,0.305,0.301,0.306,0.285,0.286,0.293,0.242,0.246,0.252,0.235,0.225,0.219,0.204,0.191,0.17,0.164,0.156,0.156,0.144
3,Andorra,Europe,Northern Hemisphere,3,40.0,40.0,0.464,0.4665,0.464,0.4669999999999999,0.454,0.434,0.422,0.424,0.428,0.422,0.424,0.409,0.398,0.396,0.395,0.39,0.378,0.3785,0.37,0.366,0.363
4,United Arab Emirates,Asia,Northern Hemisphere,3,26.0,11.0,0.602,0.599,0.597,0.592,0.584,0.311,0.202,0.193,0.185,0.175,0.181,0.171,0.161,0.151,0.126,0.118,0.112,0.103,0.056,0.05,0.049
5,Argentina,America,Southern Hemisphere,3,47.0,69.0,0.412,0.39,0.385,0.377,0.373,0.369,0.367,0.363,0.369,0.364,0.362,0.36,0.356,0.351,0.345,0.338,0.328,0.315,0.306,0.293,0.287
6,Armenia,Asia,Northern Hemisphere,2,85.0,53.0,0.444,0.439,0.408,0.394,0.386,0.376,0.331,0.348,0.341,0.346,0.342,0.327,0.305,0.313,0.309,0.306,0.261,0.26,0.239,0.239,0.216
7,Antigua and Barbuda,America,Northern Hemisphere,2,71.0,71.0,0.464,0.4665,0.464,0.4669999999999999,0.454,0.434,0.422,0.424,0.428,0.422,0.424,0.409,0.398,0.396,0.395,0.39,0.378,0.3785,0.37,0.366,0.363
8,Australia,Oceania,Southern Hemisphere,3,5.0,19.0,0.15,0.144,0.14,0.136,0.135,0.134,0.134,0.138,0.135,0.136,0.131,0.13,0.123,0.117,0.111,0.101,0.096,0.092,0.08,0.074,0.073
9,Austria,Europe,Northern Hemisphere,3,25.0,12.0,0.147,0.145,0.131,0.126,0.121,0.119,0.114,0.121,0.113,0.111,0.103,0.098,0.086,0.083,0.084,0.082,0.072,0.061,0.054,0.052,0.053
10,Azerbaijan,Asia,Northern Hemisphere,2,91.0,70.0,0.353,0.35,0.355,0.348,0.349,0.346,0.353,0.352,0.354,0.338,0.339,0.34,0.342,0.345,0.335,0.328,0.311,0.307,0.314,0.301,0.294
11,Burundi,Africa,Southern Hemisphere,0,187.0,127.0,0.612,0.611,0.597,0.593,0.562,0.557,0.552,0.547,0.548,0.54,0.537,0.533,0.528,0.525,0.517,0.514,0.51,0.508,0.507,0.506,0.505
12,Belgium,Europe,Northern Hemisphere,3,13.0,10.0,0.137,0.131,0.109,0.105,0.103,0.102,0.101,0.1,0.096,0.092,0.09,0.085,0.075,0.068,0.063,0.06,0.057,0.053,0.048,0.048,0.048
13,Benin,Africa,Northern Hemisphere,0,166.0,152.0,0.671,0.668,0.667,0.657,0.654,0.65,0.629,0.626,0.622,0.619,0.626,0.623,0.62,0.618,0.622,0.618,0.615,0.613,0.61,0.609,0.602
14,Burkina Faso,Africa,Northern Hemisphere,0,184.0,157.0,0.666,0.657,0.652,0.647,0.641,0.636,0.64,0.628,0.621,0.617,0.613,0.608,0.605,0.601,0.619,0.613,0.6,0.598,0.585,0.621,0.621
15,Bangladesh,Asia,Northern Hemisphere,1,129.0,131.0,0.685,0.739,0.737,0.734,0.644,0.637,0.634,0.665,0.611,0.607,0.594,0.589,0.583,0.568,0.557,0.551,0.534,0.533,0.531,0.531,0.53
16,Bulgaria,Europe,Northern Hemisphere,2,68.0,52.0,0.255,0.247,0.242,0.243,0.248,0.244,0.243,0.247,0.247,0.24,0.237,0.226,0.213,0.232,0.218,0.216,0.208,0.21,0.205,0.204,0.21
17,Bahrain,Asia,Northern Hemisphere,3,35.0,46.0,0.464,0.4665,0.346,0.355,0.34,0.301,0.261,0.263,0.268,0.252,0.227,0.241,0.242,0.23,0.238,0.236,0.228,0.2,0.186,0.185,0.181
18,Bahamas,America,Northern Hemisphere,3,55.0,78.0,0.384,0.382,0.381,0.361,0.361,0.349,0.356,0.359,0.375,0.369,0.362,0.372,0.355,0.365,0.356,0.349,0.326,0.325,0.324,0.325,0.329
19,Bosnia and Herzegovina,Europe,Northern Hemisphere,2,74.0,38.0,0.351,0.346,0.281,0.279,0.271,0.268,0.267,0.253,0.223,0.222,0.188,0.185,0.173,0.167,0.165,0.167,0.162,0.162,0.146,0.138,0.136
